adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/zPgsnruE8l6mlPNnZLMU2k2hP5Y.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,414085,,vi,Taxi Em Tên Gì,After a missed flight| an absent-minded scientist must catch a cab to make his marriage proposal but a stern driver veers him further off-course.,0.788,/oh1dt0ww3ZsW2zPrYxvTocAMjvz.jpg,[],"[{'iso_3166_1': 'VN', 'name': 'Vietnam'}]",2016-03-04,0,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Vietnamese', 'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,,"Taxi, What's Your Name?",False,7.2,5
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,293510,tt2179093,en,In jouw naam,"A perfectly happy couple believe they live their dream when they expect their first child. That dream is shattered when the child dies, leaving them to cope with their loss, their environment, and ultimately themselves.",0.945,/7qnDfb96tZOcQoqNb3Kx4FPWko3.jpg,[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2014-10-09,0,81,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,In Your Name,False,4.0,3
False,/7l1uvqrYOvIEMP0nRaCioQEcQh2.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,486163,tt0295934,sq,Duaje emrin tënd,"Jona, Arsen and Agron are not three ordinary graduates doing their teaching practice in an industrial center, but three young people who try to have their place in society. Through their social relations and their love, the film penetrates into their spiritual world and psychology, revealing their concepts and moral values.",1.34,/vbRc6000MoyNeT74b2zTlwXenLT.jpg,[],"[{'iso_3166_1': 'AL', 'name': 'Albania'}]",1984-04-06,0,62,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Love Your Name,False,0.0,0
False,,,0,"[{'id': 53, 'name': 'Thriller'}]",,65302,tt0479257,pl,Masz na imię Justine,"While living with her grandmother in Poland, a young woman falls in love. Her boyfriend is charming and suggests they travel around Europe and work here and there to pay for their trip. Unfortunately, the boyfriend isn't as he seems and the young woman is sold as a prostitute when they cross over to Germany. We follow her ordeal as she tries to free herself and stay sane as time goes by and her captors try to break and condition her to a new life of servitude.",1.647,/pBt0Lah4y3g3uO7AkQzCfbghebj.jpg,"[{'id': 6477, 'logo_path': '/tn6i5FOfcfCrYR3zviZVvYdolwu.png', 'name': 'Opus Film', 'origin_country': 'PL'}, {'id': 75888, 'logo_path': None, 'name': 'Hemispheres Films', 'origin_country': ''}]","[{'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'PL', 'name': 'Poland'}]",2005-08-30,0,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Your Name is Justine,False,6.5,13
False,/5En1U4PGJ7VdTOBE71BpTeaqjlA.jpg,,0,"[{'id': 10402, 'name': 'Music'}]",,627611,,ja,「君の名は。」 オーケストラコンサート,"The ""Your Name."" Orchestra Concert was held on December 4-5, 2017 at the Tokyo International Forum.",1.859,/5DDNc7zxPS7w5IQEdJwaGl76LL0.jpg,"[{'id': 1780, 'logo_path': '/jdnvUiU7I3Uf2ig0VZNNjf0ORRL.png', 'name': 'Tohokushinsha Film Corporation', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-12-05,0,121,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,your name. orchestra concert,True,8.0,13
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,229665,tt1511537,pt,Em Teu Nome,"Early 1970s. Latin America was under a military dictatorship. Some political groups opted for armed struggle to confront the regime. Boni, an engineering student of humble background adheres to the armed struggle, but carries doubts and fears as to whether this would really be the best way, as he fears for his family, his girlfriend and the future, which seems more uncertain every day. Like so many, he is arrested, tortured and banished from the country. In exile in Chile, together with his partner Cecilia, he comes to understand society in a different way. He begins to work and live with the Chilean people, realizing that to change reality it is first necessary to understand it.",1.4,/7HtDqc8UfV9T43WdmEjlS4V3csY.jpg,[],"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2010-05-28,0,102,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,In Your Name,False,0.0,0
False,,,26021,[],,640038,,es,Dime tu nombre,A forbidden love story unfolds through the aisles of the University of Durango.,1.366,/mGSB4MmAdn80JrzBEO3ofM4axxJ.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2019-09-20,0,105,[],Released,,Tell Me Your Name,False,0.0,0
False,,,0,[],,696359,,tl,Ania ‘ti Naganmo?,"A six year old girl gets lost in a cemetery in her mother's hometown. Despite the language barrier, a local stranger helps her find her way back home.",0.6,/pTG7kImPQxiuFrxzSqLe7mkCnx3.jpg,[],[],2017-10-27,0,11,"[{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Released,,What is Your Name?,False,0.0,0
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,953521,tt12526660,fr,Garder ton nom,"Fabrice grew up fascinated by his father. His only way to get his admiration: follow in his footsteps, become the local boss and stick up for their land at all costs. But now, his wife Laetitia is urging him to move on, to break free from his father's grip. Torn by the conflict between his desire for freedom and the fear of losing his father's love, he will fall into a spiral of violence.",0.629,,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2021-11-13,0,97,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Defend Your Name,False,0.0,0
False,/gM1WB9sbqTdBri5XYtxPz0ectr.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,719410,tt10329134,zh,刻在你心底的名字,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",15.796,/m3y8B4beaYjGltS7G2zltURfaUD.jpg,"[{'id': 114718, 'logo_path': None, 'name': 'Oxygen Film Studio', 'origin_country': 'TW'}]","[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]",2020-09-30,0,118,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,Who is the one linger in your heart after all these years?,Your Name Engraved Herein,False,8.0,173
False,,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 99, 'name': 'Documentary'}]",,835379,tt15105762,pt,O Teu Nome É,"Animated documentary evoking Gisberta Salce Jr., a transsexual brutally tortured and murdered in Portugal in 2006, through the memories and testimonials of transexual friends and two of the young men involved in her death.",0.6,/pFwtB4PErWWYooNj6QaKwPXUKr0.jpg,[],"[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2021-07-18,0,25,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Your Name Is,False,8.0,1
False,/66claTulg8SMJ48t0wN1vwEiHmV.jpg,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,294716,tt0177122,en,Pomni Imya Svoye,"Beginning of WWII. Zinaida, a Russian woman, is taken prisoner by the Germans and sent to Auschwitz concentration camp together with several other women. She is imprisoned with her baby son, Gena, who is learning to walk and takes his first steps in the snow, in the concentration camp. They spend a few years together in the camp until they are separated, first within Auschwitz itself, then, for good, when the Germans are losing the war and decide to evacuate.",0.6,/sAs2ir6RTJ5u0dJ6ntOV3SASPnP.jpg,"[{'id': 10941, 'logo_path': None, 'name': 'Zespol Filmowy ""Iluzjon""', 'origin_country': ''}, {'id': 344, 'logo_path': '/xenuUvcunUNpbaDOYGhWZERaym7.png', 'name': 'Mosfilm', 'origin_country': 'SU'}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}, {'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'SU', 'name': 'Soviet Union'}]",1974-11-05,0,97,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Remember Your Name,False,6.0,6
False,,,0,[],,956874,tt14144312,fr,Lettres en ton nom,"Robert drives his car along the country roads in the company of his two friends Antoine and Louis. He is obsessed with the incandescent feeling of his childhood love, Hélène. After several years of absence and many letters exchanged, he receives a final letter announcing her return. Passionate and unrestrained, Robert will have to face the resurgent memory, taking with him all forms of reasonable reality.",0.6,/tRSMkCgXwIAD3oLZ1RQMydI8xOv.jpg,[],[],2022-02-27,0,23,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Letters in Your Name,False,0.0,0
